case_id,lang,topic,case_text,resolution,status,closed_at,synthetic
CASE-000176,ar,parks,الري متوقف في حديقة الرياض,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2025-02-08T07:00,True
CASE-000177,ar,roads,الأسفلت متضرر قرب حي النرجس والقيادة أصبحت خطرة,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2025-02-08T08:00,True
CASE-000178,ar,lighting,إنارة الممر لا تعمل عند الدمام,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-02-08T09:00,True
CASE-000179,en,waste,We need an additional waste container at Tahlia Street,A new collection point was added for the area,resolved,2025-02-08T10:00,True
CASE-000180,en,water,WATER PRESSURE IS VERY LOW IN KING FAHD ROAD,The fault was fixed and water service was gradually restored,resolved,2025-02-08T11:00,True
CASE-000181,ar,billing,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-050180 😡,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2025-02-08T12:00,True
CASE-000182,ar,digital_services,ظهرت رسالة خطأ عند رفع المستند في بلدي,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2025-02-08T13:00,True
CASE-000183,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-050182,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2025-02-08T14:00,True
CASE-000184,en,parks,The path at Tahlia Street is not wheelchair accessible,The issue was assigned to the parks team and repaired,resolved,2025-02-08T15:00,True
CASE-000185,en,roads,Damaged asphalt near Tahlia Street is making driving unsafe <NATIONAL_ID>,The case was assigned to the roads team and the pothole was repaired,resolved,2025-02-08T16:00,True
CASE-000186,ar,lighting,الشارع مظلم قرب شارع التحلية ونحتاج إصلاح الإنارة,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-02-08T17:00,True
CASE-000187,ar,waste,الحاوية ممتلئة في جدة ولم تُفرغ منذ 18 أيام,أضيفت نقطة جمع جديدة للمنطقة,resolved,2025-02-08T18:00,True
CASE-000188,ar,water,انقطاع المياه مستمر في حي النرجس منذ الصباح,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2025-02-08T19:00,True
CASE-000189,en,billing,Incorrect fees were charged on invoice BYN-2025-050188,The invoice was reviewed and the fees were corrected,resolved,2025-02-08T20:00,True
CASE-000190,en,digital_services,An error appears when I upload a document in Maintenance Appointments <br>,The account was refreshed and sign-in was restored,resolved,2025-02-08T21:00,True
CASE-000191,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-050190,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2025-02-08T22:00,True
CASE-000192,ar,parks,الري متوقف في حديقة الرياض,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2025-02-08T23:00,True
CASE-000193,ar,roads,حفرة في الطريق أمام حي الياسمين منذ 3 أيام,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2025-02-09T00:00,True
CASE-000194,en,lighting,The streetlight at Jeddah has been out for two weeks — very frustrating 😡,The maintenance team repaired the wiring and restored service,resolved,2025-02-09T01:00,True
CASE-000195,en,waste,We need an additional waste container at Riyadh,A new collection point was added for the area,resolved,2025-02-09T02:00,True
CASE-000196,ar,water,ضغط المياه منخفض جداً في الرياض,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2025-02-09T03:00,True
CASE-000197,ar,billing,دفعت الفاتورة لكن الحالة ما زالت غير مسددة,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2025-02-09T04:00,True
CASE-000198,ar,digital_services,تطبيق خدمات المياه يتوقف عند تسجيل الدخول,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2025-02-09T05:00,True
CASE-000199,en,licensing,I NEED CLARIFICATION ON THE DOCUMENTS REQUIRED FOR MY LICENCE,The licensing team contacted the applicant for the missing document,resolved,2025-02-09T06:00,True
CASE-000200,en,parks,The playground equipment at Jeddah needs maintenance,The issue was assigned to the parks team and repaired,resolved,2025-02-09T07:00,True
CASE-000201,ar,roads,الأسفلت متضرر قرب الدمام والقيادة أصبحت خطرة,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2025-02-09T08:00,True
CASE-000202,ar,lighting,الشارع مظلم قرب حي النرجس ونحتاج إصلاح الإنارة,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-02-09T09:00,True
CASE-000203,ar,waste,الحاوية ممتلئة في جدة ولم تُفرغ منذ 13 أيام,أضيفت نقطة جمع جديدة للمنطقة,resolved,2025-02-09T10:00,True
CASE-000204,en,water,Water pressure is very low in Jeddah,The fault was fixed and water service was gradually restored,resolved,2025-02-09T11:00,True
CASE-000205,en,billing,The fees for My Licence are unclear,The invoice was reviewed and the fees were corrected,resolved,2025-02-09T12:00,True
CASE-000206,ar,digital_services,لا يصل رمز التحقق إلى هاتفي لخدمة بوابة المرافق,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2025-02-09T13:00,True
CASE-000207,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-050206 😡,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2025-02-09T14:00,True
CASE-000208,ar,parks,الممر في حديقة الدمام غير مناسب للكراسي المتحركة,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2025-02-09T15:00,True
CASE-000209,en,roads,Damaged asphalt near Jeddah is making driving unsafe,The site was inspected and road maintenance was scheduled,resolved,2025-02-09T16:00,True
CASE-000210,en,lighting,The walkway lights are not working at Al Yasmin <PHONE>,The lighting unit was replaced and tested,resolved,2025-02-09T17:00,True
CASE-000211,ar,waste,تراكمت النفايات قرب حي الياسمين وتسبب رائحة قوية,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2025-02-09T18:00,True
CASE-000212,ar,water,يوجد تسرب مياه في حي الياسمين والبلاغ رقم BYN-2026-050211,عولج العطل وأعيدت المياه تدريجياً,resolved,2025-02-09T19:00,True
CASE-000213,ar,billing,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-050212,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2025-02-09T20:00,True
CASE-000214,en,digital_services,The verification code for Maintenance Appointments never reaches my phone,The account was refreshed and sign-in was restored,resolved,2025-02-09T21:00,True
CASE-000215,en,licensing,Request BYN-2025-050214 has not changed status,The licensing team contacted the applicant for the missing document,resolved,2025-02-09T22:00,True
CASE-000216,ar,parks,الممر في حديقة جدة غير مناسب للكراسي المتحركة,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2025-02-09T23:00,True
CASE-000217,ar,roads,حفرة في الطريق أمام جدة منذ 6 أيام,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2025-02-10T00:00,True
CASE-000218,ar,lighting,عمود ألإنارة معطل في شارع التحلية منذ أسبوعين,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-02-10T01:00,True
CASE-000219,en,waste,Waste is piling up near Al Yasmin and causing a strong smell,A new collection point was added for the area,resolved,2025-02-10T02:00,True
CASE-000220,en,water,Water pressure is very low in Dammam — very frustrating 😡,The fault was fixed and water service was gradually restored,resolved,2025-02-10T03:00,True
CASE-000221,ar,billing,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-050220 <br>,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2025-02-10T04:00,True
CASE-000222,ar,digital_services,لا يصل رمز التحقق إلى هاتفي لخدمة مواعيد الصيانة,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2025-02-10T05:00,True
CASE-000223,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-050222,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2025-02-10T06:00,True
CASE-000224,en,parks,The playground equipment at Jeddah needs maintenance,The site was maintained and the affected area was reopened,resolved,2025-02-10T07:00,True
CASE-000225,en,roads,Damaged asphalt near Jeddah is making driving unsafe,The site was inspected and road maintenance was scheduled,resolved,2025-02-10T08:00,True
CASE-000226,ar,lighting,إنارة الممر لا تعمل عند طريق الملك فهد <NATIONAL_ID>,تم استبدال وحدة الإنارة واختبارها,resolved,2025-02-10T09:00,True
CASE-000227,ar,waste,نحتاج حاوية إضافية في الدمام,أضيفت نقطة جمع جديدة للمنطقة,resolved,2025-02-10T10:00,True
CASE-000228,ar,water,يوجد تسرب مياه في شارع التحلية والبلاغ رقم BYN-2026-050227,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2025-02-10T11:00,True
CASE-000229,en,billing,Incorrect fees were charged on invoice BYN-2025-050228,The payment was matched and the account status was updated,resolved,2025-02-10T12:00,True
CASE-000230,en,digital_services,An error appears when I upload a document in Water Services,The account was refreshed and sign-in was restored,resolved,2025-02-10T13:00,True
CASE-000231,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-050230,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2025-02-10T14:00,True
CASE-000232,ar,parks,الممر في حديقة جدة غير مناسب للكراسي المتحركة,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2025-02-10T15:00,True
CASE-000233,ar,roads,حفرة في الطريق أمام حي الياسمين منذ 1 أيام 😡,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2025-02-10T16:00,True
CASE-000234,en,lighting,The walkway lights are not working at Dammam,The lighting unit was replaced and tested,resolved,2025-02-10T17:00,True
CASE-000235,en,waste,Waste is piling up near Dammam and causing a strong smell,The container was emptied and the collection schedule was updated,resolved,2025-02-10T18:00,True
CASE-000236,ar,water,انقطاع المياه مستمر في حي الياسمين منذ الصباح,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2025-02-10T19:00,True
CASE-000237,ar,billing,تم أحتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-050236,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2025-02-10T20:00,True
